formula,f_profit,TIME,profit
+4-17,1.403886842291349,2022,0.7009132420091324
+8-9,1.4777306096298566,2022,0.8382352941176472
+9-8,1.4777306096298566,2022,0.8382352941176472
+26+28,1.445480076886686,2022,0.2820312499999999
+26+29,1.402002022035685,2022,0.3090909090909091
+26+30,1.5323145079814298,2022,0.5146575342465753
+30+31,1.4283451261330902,2022,0.3090909090909091
-26-28,1.445480076886686,2022,0.2820312499999999
-26-29,1.402002022035685,2022,0.3090909090909091
-26-30,1.5323145079814298,2022,0.5146575342465753
-30-31,1.4283451261330902,2022,0.3090909090909091
+14*30,1.4159808014006872,2022,0.3090909090909091
+16*33,1.4025702993159048,2022,0.9592233009708738
+20*33,1.5242482419858538,2022,0.6049315068493151
-14*30,1.4159808014006872,2022,0.3090909090909091
-16*33,1.4025702993159048,2022,0.9592233009708738
-20*33,1.5242482419858538,2022,0.6049315068493151
