formula,f_profit,TIME,profit
+15-16,1.216497011209405,2022,1.280645161290323
+15-18,1.216497011209405,2022,1.280645161290323
+15-19,1.2296095247443535,2022,1.280645161290323
+15-20,1.2026119991620967,2022,0.7333333333333334
+15-28,1.3086793132065857,2022,0.2820312499999999
+15-30,1.2485333504558138,2022,0.3090909090909091
+15-31,1.2029357675557317,2022,0.766497461928934
+16+16,1.2169685235726446,2022,1.280645161290323
+16+17,1.2122670464371923,2022,1.280645161290323
+16+18,1.216497011209405,2022,1.280645161290323
+16+19,1.2296095247443535,2022,1.280645161290323
+16+22,1.2414141148538131,2022,1.280645161290323
+16+23,1.2169685235726446,2022,1.280645161290323
+16+27,1.2169685235726446,2022,1.280645161290323
+16+28,1.2169685235726446,2022,1.280645161290323
+16+29,1.2169685235726446,2022,1.280645161290323
+16+34,1.2296095247443535,2022,1.280645161290323
+16-4,1.216497011209405,2022,1.280645161290323
+16-7,1.2587717458052647,2022,1.280645161290323
+16-10,1.229133114646932,2022,1.280645161290323
+16-11,1.216497011209405,2022,1.280645161290323
+16-15,1.216497011209405,2022,1.280645161290323
+16-17,1.2288940037092047,2022,1.280645161290323
+16-23,1.216497011209405,2022,1.280645161290323
+16-24,1.229133114646932,2022,1.280645161290323
+16-25,1.216497011209405,2022,1.280645161290323
+16-26,1.2233031610976683,2022,1.280645161290323
+16-27,1.2169685235726446,2022,1.280645161290323
+16-28,1.216497011209405,2022,1.280645161290323
+16-29,1.216497011209405,2022,1.280645161290323
+16-30,1.2233031610976683,2022,1.280645161290323
+16-31,1.2296095247443535,2022,1.280645161290323
+16-32,1.216497011209405,2022,1.280645161290323
+16-33,1.205014117673692,2022,1.280645161290323
+16-34,1.216497011209405,2022,1.280645161290323
+17+18,1.216497011209405,2022,1.280645161290323
+17-4,1.3927804430900292,2022,0.7009132420091324
+17-16,1.2288940037092047,2022,1.280645161290323
+17-18,1.216497011209405,2022,1.280645161290323
+17-19,1.2071037995619855,2022,1.280645161290323
+17-29,1.272812922681993,2022,0.8913793103448276
+18+18,1.216497011209405,2022,1.280645161290323
+18+19,1.229133114646932,2022,1.280645161290323
+18+22,1.216497011209405,2022,1.280645161290323
+18+23,1.216497011209405,2022,1.280645161290323
+18+25,1.2029714812288759,2022,1.280645161290323
+18+27,1.216497011209405,2022,1.280645161290323
+18+28,1.216497011209405,2022,1.280645161290323
+18+29,1.216497011209405,2022,1.280645161290323
+18+34,1.229133114646932,2022,1.280645161290323
+18-4,1.216497011209405,2022,1.280645161290323
+18-7,1.258284036855405,2022,1.280645161290323
+18-10,1.229133114646932,2022,1.280645161290323
+18-11,1.2499671677054165,2022,1.280645161290323
+18-15,1.216497011209405,2022,1.280645161290323
+18-17,1.216497011209405,2022,1.280645161290323
+18-20,1.2244591642982463,2022,1.280645161290323
+18-23,1.216497011209405,2022,1.280645161290323
+18-24,1.229133114646932,2022,1.280645161290323
+18-25,1.216497011209405,2022,1.280645161290323
+18-27,1.216497011209405,2022,1.280645161290323
+18-28,1.216497011209405,2022,1.280645161290323
+18-29,1.216497011209405,2022,1.280645161290323
+18-31,1.229133114646932,2022,1.280645161290323
+18-32,1.216497011209405,2022,1.280645161290323
+18-34,1.216497011209405,2022,1.280645161290323
+19+19,1.2249337627797294,2022,1.280645161290323
+19+20,1.2169685235726446,2022,1.280645161290323
+19+22,1.2247128785490118,2022,1.280645161290323
+19+23,1.2249337627797294,2022,1.280645161290323
+19+24,1.2296095247443535,2022,1.280645161290323
+19+25,1.2249337627797294,2022,1.280645161290323
+19+27,1.2249337627797294,2022,1.280645161290323
+19+28,1.2249337627797294,2022,1.280645161290323
+19+29,1.2249337627797294,2022,1.280645161290323
+19+31,1.2249337627797294,2022,1.280645161290323
+19+34,1.2249337627797294,2022,1.280645161290323
+19-4,1.2121811593015999,2022,1.280645161290323
+19-7,1.2539850904217977,2022,1.280645161290323
+19-11,1.2071037995619855,2022,1.280645161290323
+19-14,1.276090528635181,2022,0.7275449101796407
+19-15,1.2296095247443535,2022,1.280645161290323
+19-17,1.2071037995619855,2022,1.280645161290323
+19-23,1.2249337627797294,2022,1.280645161290323
+19-25,1.2121811593015999,2022,1.280645161290323
+19-28,1.2249337627797294,2022,1.280645161290323
+19-31,1.2042513336171639,2022,1.280645161290323
+19-32,1.2075716711308941,2022,1.280645161290323
+19-34,1.2121811593015999,2022,1.280645161290323
